# Program:featureCounts v1.5.3; Command:"featureCounts" "-s" "0" "-t" "exon" "-g" "transcript_id" "-p" "-B" "-C" "-a" "/cromwell_root/broad-dsde-mint-dev-teststorage/demo/gencodev19_chr21.gtf" "-o" "demo.transcripts.counts.txt" "/cromwell_root/broad-dsde-mint-dev-cromwell-execution/cromwell-executions/Ss2RsemSingleSample/ddd4b5c7-e0de-4e2e-a1eb-74c32107f3aa/call-Star/Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/cromwell_root/broad-dsde-mint-dev-cromwell-execution/cromwell-executions/Ss2RsemSingleSample/ddd4b5c7-e0de-4e2e-a1eb-74c32107f3aa/call-Star/Aligned.sortedByCoord.out.bam
RRP1|ENST00000483896.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	45209440;45210897;45211231;45212553;45213200;45215070;45217303;45217512;45217788	45209643;45210937;45211313;45212610;45213285;45215131;45217432;45217576;45217863	+;+;+;+;+;+;+;+;+	805	0
RRP1|ENST00000473988.1	chr21;chr21	45210374;45211231	45210937;45211293	+;+	627	0
RPL31P1|ENST00000398116.2	chr21	44971110	44971481	+	372	0
AP001610.5|ENST00000411427.1	chr21;chr21	42813321;42814592	42813797;42814669	-;-	555	0
SRSF9P1|ENST00000399149.2	chr21	37667471	37668000	-	530	0
AP001630.5|ENST00000428410.1	chr21;chr21	44384749;44385213	44384924;44385473	-;-	437	0
AP001468.1|ENST00000594486.1	chr21;chr21;chr21	47612391;47612518;47613567	47612516;47613088;47613673	-;-;-	804	0
EVA1C|ENST00000459833.1	chr21;chr21;chr21;chr21;chr21	33784350;33825620;33840004;33867337;33873725	33784501;33825816;33840156;33867480;33873765	+;+;+;+;+	687	0
EVA1C|ENST00000469079.1	chr21;chr21;chr21;chr21	33784314;33825620;33829905;33840004	33785321;33825816;33830028;33840363	+;+;+;+	1689	0
EVA1C|ENST00000457807.1	chr21;chr21;chr21;chr21;chr21;chr21	33784861;33840004;33867337;33873725;33876236;33887124	33785321;33840156;33867480;33873848;33876325;33887699	+;+;+;+;+;+	1548	0
EVA1C|ENST00000412833.1	chr21;chr21;chr21;chr21;chr21	33800642;33825620;33829905;33840004;33867337	33800992;33825816;33830028;33840156;33867447	+;+;+;+;+	936	0
EVA1C|ENST00000481638.1	chr21;chr21	33785072;33805459	33785321;33805592	+;+	384	0
EVA1C|ENST00000464037.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21	33824493;33829905;33840004;33867337;33873725;33876236;33887124	33825816;33830028;33840156;33867480;33873805;33876325;33887699	+;+;+;+;+;+;+	2492	0
EVA1C|ENST00000496615.1	chr21;chr21;chr21;chr21;chr21	33865963;33867337;33873725;33876236;33887124	33866072;33867480;33873805;33876325;33887190	+;+;+;+;+	492	0
EVA1C|ENST00000437338.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21	33784745;33829905;33840004;33867337;33873725;33876236;33887124	33785321;33830028;33840156;33867480;33873805;33876325;33887699	+;+;+;+;+;+;+	1745	0
EVA1C|ENST00000382699.3	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	33785010;33825620;33829905;33840004;33867337;33873725;33876236;33887124	33785321;33825816;33830028;33840156;33867480;33873796;33876325;33887699	+;+;+;+;+;+;+;+	1668	0
EVA1C|ENST00000401402.3	chr21;chr21;chr21;chr21;chr21;chr21;chr21	33784993;33825620;33829905;33840004;33873725;33876236;33887124	33785321;33825816;33830028;33840156;33873805;33876325;33887707	+;+;+;+;+;+;+	1558	0
EVA1C|ENST00000435323.1	chr21;chr21;chr21;chr21;chr21;chr21	33784745;33829905;33840004;33873725;33876236;33887124	33785321;33830028;33840156;33873805;33876325;33887699	+;+;+;+;+;+	1601	0
EVA1C|ENST00000485488.1	chr21;chr21;chr21	33867427;33876236;33887124	33867480;33876325;33887699	+;+;+	720	0
EVA1C|ENST00000300255.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	33784689;33825620;33829905;33840004;33867337;33873725;33876236;33887124	33785321;33825816;33830028;33840156;33867480;33873805;33876325;33887699	+;+;+;+;+;+;+;+	1998	0
RNU6-113P|ENST00000516653.1	chr21	18803865	18803965	+	101	0
C21orf90|ENST00000465978.1	chr21;chr21	45937503;45945707	45937718;45945835	+;+	345	0
C21orf90|ENST00000354333.5	chr21;chr21	45937500;45938511	45937718;45940713	+;+	2422	0
C21orf90|ENST00000330490.3	chr21;chr21;chr21	45937099;45938142;45938511	45937718;45938215;45938639	+;+;+	823	0
SNRPGP13|ENST00000442212.1	chr21	39874369	39874545	+	177	0
PPIAP22|ENST00000358455.4	chr21	20230097	20230594	+	498	9
PPIAP22|ENST00000394336.2	chr21;chr21	20230097;20230438	20230329;20230594	+;+	390	0
AP000469.2|ENST00000416218.1	chr21;chr21;chr21;chr21	25676863;25679932;25680529;25693563	25678482;25680072;25680646;25693690	-;-;-;-	2007	0
AP000281.2|ENST00000427911.1	chr21;chr21	34216677;34222205	34217020;34222244	-;-	384	0
IFNAR1|ENST00000416947.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34696734;34707830;34713305;34715574;34715841;34717552;34721397;34721695;34725064;34725944;34727622	34696943;34707953;34713480;34715728;34715982;34717666;34721596;34721849;34725214;34726089;34727997	+;+;+;+;+;+;+;+;+;+;+	1950	0
IFNAR1|ENST00000270139.3	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34697209;34707830;34713305;34715574;34715841;34717552;34721397;34721695;34725064;34725944;34727622	34697436;34707953;34713480;34715728;34715982;34717666;34721596;34721849;34725214;34726089;34732168	+;+;+;+;+;+;+;+;+;+;+	6139	33
IFNAR1|ENST00000442357.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34697278;34707830;34713305;34715574;34715841;34717552;34721397;34721695;34725064;34725186;34727622	34697436;34707953;34713480;34715728;34715982;34717666;34721596;34721849;34725161;34725201;34728159	+;+;+;+;+;+;+;+;+;+;+	1878	0
IFNAR1|ENST00000442071.1	chr21;chr21;chr21;chr21	34697278;34707830;34713305;34717552	34697436;34707953;34713480;34717583	+;+;+;+	491	0
IFNAR1|ENST00000493503.1	chr21;chr21	34696782;34707830	34696943;34707917	+;+	250	0
AP001631.9|ENST00000424933.1	chr21;chr21	44560633;44561072	44560923;44561202	-;-	422	0
C21orf54|ENST00000451980.2	chr21;chr21;chr21;chr21	34537776;34540748;34542001;34542446	34537997;34540886;34542138;34542541	-;-;-;-	595	0
C21orf33|ENST00000348499.5	chr21;chr21;chr21;chr21;chr21;chr21	45553562;45553984;45555942;45557059;45563087;45564703	45553720;45554036;45556055;45557178;45563243;45565605	+;+;+;+;+;+	1506	0
C21orf33|ENST00000493883.1	chr21;chr21;chr21;chr21;chr21	45553521;45555942;45557059;45560132;45561046	45553720;45556055;45557178;45560224;45561299	+;+;+;+;+	781	0
C21orf33|ENST00000419699.1	chr21;chr21;chr21;chr21;chr21;chr21	45556001;45557059;45560132;45563087;45564703;45565453	45556055;45557178;45560224;45563243;45564798;45565605	+;+;+;+;+;+	674	0
C21orf33|ENST00000495007.1	chr21;chr21;chr21;chr21;chr21;chr21	45553498;45555942;45557059;45560132;45563087;45564703	45554036;45556055;45557178;45560224;45563243;45564894	+;+;+;+;+;+	1215	0
C21orf33|ENST00000488392.1	chr21;chr21	45555989;45557059	45556055;45557457	+;+	466	0
C21orf33|ENST00000449622.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21	45553696;45553984;45555942;45557059;45560132;45563087;45564703	45553720;45554036;45556055;45557259;45560224;45563243;45565605	+;+;+;+;+;+;+	1546	0
C21orf33|ENST00000389690.3	chr21;chr21;chr21;chr21;chr21;chr21	45553661;45553984;45555942;45557059;45560132;45561046	45553720;45554036;45556055;45557178;45560224;45561299	+;+;+;+;+;+	694	0
C21orf33|ENST00000470545.1	chr21;chr21	45556756;45557059	45556909;45557448	+;+	544	0
C21orf33|ENST00000291577.6	chr21;chr21;chr21;chr21;chr21;chr21;chr21	45553487;45553984;45555942;45557059;45560132;45563087;45564703	45553720;45554036;45556055;45557178;45560224;45563243;45565605	+;+;+;+;+;+;+	1674	0
C21orf33|ENST00000480786.1	chr21;chr21;chr21;chr21;chr21	45553556;45553984;45555942;45557059;45560132	45553720;45554036;45556055;45557178;45560486	+;+;+;+;+	807	0
C21orf33|ENST00000427803.2	chr21;chr21;chr21;chr21;chr21;chr21	45553500;45553984;45555942;45557059;45560132;45560824	45553720;45554036;45556055;45557178;45560224;45561299	+;+;+;+;+;+	1077	0
B3GALT5|ENST00000475838.1	chr21;chr21	40928411;40934881	40928437;40935511	+;+	658	0
B3GALT5|ENST00000343118.4	chr21;chr21;chr21	41029704;41031680;41032487	41029820;41031839;41034815	+;+;+	2606	0
B3GALT5|ENST00000398714.2	chr21;chr21	41029704;41032487	41029820;41034815	+;+	2446	0
B3GALT5|ENST00000380620.4	chr21;chr21;chr21;chr21;chr21	40928369;40977021;41018319;41031680;41032487	40928437;40977152;41018549;41031839;41045064	+;+;+;+;+	13170	0
B3GALT5|ENST00000380618.1	chr21;chr21;chr21	41029254;41031680;41032487	41029526;41031839;41034816	+;+;+	2763	0
ABCG1|ENST00000450121.1	chr21;chr21;chr21;chr21;chr21;chr21	43639227;43645781;43691180;43693413;43702384;43704670	43639414;43646024;43691297;43693545;43702529;43704758	+;+;+;+;+;+	918	0
ABCG1|ENST00000398449.3	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	43639228;43645781;43691180;43693413;43697005;43702384;43704670;43705990;43707999;43708321;43710160;43711202;43711608;43714652;43716274	43639414;43646024;43691297;43693545;43697055;43702529;43704793;43706104;43708147;43708422;43710328;43711302;43711766;43714770;43717354	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2998	0
ABCG1|ENST00000361802.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	43639228;43645781;43691180;43693413;43697005;43702384;43704670;43705990;43707999;43708321;43710160;43711202;43711608;43714652;43716274	43639414;43646024;43691297;43693545;43697055;43702529;43704793;43706104;43708183;43708422;43710328;43711302;43711766;43714770;43717354	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3034	0
ABCG1|ENST00000398457.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	43619799;43621687;43645781;43691180;43693413;43697005;43702384;43704670;43705990;43707999;43708321;43710160;43711202;43711608;43714652;43716274	43619959;43621833;43646024;43691297;43693545;43697055;43702529;43704793;43706104;43708147;43708422;43710328;43711302;43711766;43714770;43717354	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3119	0
ABCG1|ENST00000343687.3	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	43639931;43645781;43691180;43693413;43697005;43702384;43704670;43705990;43707999;43708321;43710160;43711202;43711608;43714652;43716274	43640156;43646024;43691297;43693545;43697055;43702529;43704793;43706104;43708147;43708422;43710328;43711302;43711766;43714770;43717354	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3037	0
ABCG1|ENST00000398437.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	43676194;43679425;43680099;43691180;43693413;43697005;43702384;43704670;43705990;43707999;43708321;43710160;43711202;43711608;43714652;43716274	43676726;43679612;43680249;43691297;43693545;43697055;43702529;43704793;43706104;43708183;43708422;43710328;43711302;43711766;43714770;43717354	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3475	0
ABCG1|ENST00000340588.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	43676459;43679425;43680099;43691180;43693413;43697005;43702384;43704670;43705990;43707999;43708321;43710160;43711202;43711608;43714652;43716274	43676726;43679615;43680249;43691297;43693545;43697055;43702529;43704793;43706104;43708183;43708422;43710328;43711302;43711766;43714770;43717352	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3211	0
ABCG1|ENST00000496783.1	chr21;chr21;chr21;chr21;chr21;chr21	43706044;43707999;43710160;43711202;43711608;43714652	43706104;43708422;43710328;43711302;43711766;43715462	+;+;+;+;+;+	1725	0
ABCG1|ENST00000467818.1	chr21;chr21;chr21;chr21	43696796;43702384;43704670;43705990	43697055;43702529;43704793;43706251	+;+;+;+	792	0
ABCG1|ENST00000347800.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	43636187;43645781;43691180;43693413;43697005;43702384;43704670;43705990;43707999;43708321;43710160;43711202;43711608;43714652;43716274	43636298;43646024;43691297;43693545;43697055;43702529;43704793;43706104;43708147;43708422;43710328;43711302;43711766;43714770;43717354	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2923	0
ABCG1|ENST00000462050.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	43619922;43621687;43627056;43645781;43691180;43693413;43697005;43702384;43704670;43705990;43707999;43708321;43710160;43711202;43711608;43714652;43716274	43619959;43621833;43627096;43646024;43691297;43693545;43697055;43702529;43704793;43706104;43708147;43708422;43710328;43711302;43711766;43714770;43717354	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3037	0
ABCG1|ENST00000472587.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	43696454;43702384;43704670;43705990;43707999;43708321;43710160;43711202;43711608;43714652;43716274	43697055;43702529;43704793;43706104;43708183;43708422;43710328;43711302;43711766;43714770;43717354	+;+;+;+;+;+;+;+;+;+;+	2903	0
SIK1|ENST00000270162.6	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	44834395;44837423;44838140;44838901;44839233;44839739;44840114;44840890;44841123;44841518;44841854;44845287;44845903;44846890	44836997;44837654;44838421;44839117;44839358;44839885;44840337;44841013;44841247;44841679;44841917;44845403;44846072;44847008	-;-;-;-;-;-;-;-;-;-;-;-;-;-	4712	0
SIK1|ENST00000478426.1	chr21;chr21;chr21	44840992;44841123;44841518	44841013;44841247;44841885	-;-;-	515	0
LINC00323|ENST00000441268.1	chr21;chr21	42513427;42519889	42515342;42520060	-;-	2088	0
LINC00323|ENST00000435493.1	chr21;chr21	42515069;42519276	42515342;42519350	-;-	349	0
LINC00323|ENST00000446910.1	chr21;chr21;chr21	42515107;42517004;42519276	42515342;42517262;42519360	-;-;-	580	0
Y_RNA|ENST00000517106.1	chr21	40716463	40716554	+	92	0
AP000320.7|ENST00000362077.4	chr21;chr21;chr21;chr21;chr21;chr21	35445892;35497641;35587801;35635120;35665981;35732205	35446045;35497780;35587841;35635221;35666056;35732332	+;+;+;+;+;+	641	0
USP25|ENST00000547201.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	17145575;17150223;17163821;17172076;17177440;17181128;17183456;17191017	17145636;17150346;17163983;17172162;17177577;17181204;17183529;17191048	+;+;+;+;+;+;+;+	757	0
USP25|ENST00000449491.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21	17214837;17219982;17222096;17236587;17238585;17242387;17246722	17214859;17220095;17222191;17236765;17238663;17242466;17246837	+;+;+;+;+;+;+	687	0
USP25|ENST00000464435.1	chr21;chr21	17171853;17177440	17172162;17177974	+;+	845	2
USP25|ENST00000351097.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	17102344;17135210;17138316;17150223;17163821;17172076;17177440;17242387;17246722;17250115;17250622	17102757;17135287;17138460;17150346;17163983;17172162;17177577;17242466;17246845;17250310;17251230	+;+;+;+;+;+;+;+;+;+;+	2158	0
USP25|ENST00000285681.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	17102344;17135210;17138316;17150223;17163821;17172076;17177440;17181128;17183456;17191017;17196358;17197285;17198523;17199296;17202850;17203720;17205667;17214717;17222096;17236587;17238585;17242387;17246722;17250115;17250622	17102757;17135287;17138460;17150346;17163983;17172162;17177577;17181204;17183529;17191165;17196485;17197380;17198684;17199522;17202920;17203948;17205867;17214859;17222191;17236765;17238663;17242466;17246845;17250310;17252377	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5216	0
USP25|ENST00000285679.6	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	17102344;17135210;17138316;17150223;17163821;17172076;17177440;17181128;17183456;17191017;17196358;17197285;17198523;17199296;17202850;17203720;17205667;17214717;17236587;17238585;17242387;17246722;17250115;17250622	17102757;17135287;17138460;17150346;17163983;17172162;17177577;17181204;17183529;17191165;17196485;17197380;17198684;17199522;17202920;17203948;17205867;17214859;17236765;17238663;17242466;17246845;17250310;17251230	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3973	0
USP25|ENST00000400183.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	17102496;17135210;17138316;17150223;17163821;17172076;17177440;17181128;17183456;17191017;17196358;17197285;17198523;17199296;17202850;17203720;17205667;17214717;17219982;17222096;17236587;17238585;17242387;17246722;17250115;17250622	17102757;17135287;17138460;17150346;17163983;17172162;17177577;17181204;17183529;17191165;17196485;17197380;17198684;17199522;17202920;17203948;17205867;17214859;17220095;17222191;17236765;17238663;17242466;17246845;17250310;17252377	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5178	0
USP25|ENST00000453553.1	chr21;chr21;chr21;chr21;chr21	17197329;17199296;17202850;17203720;17205667	17197380;17199522;17202920;17203948;17205698	+;+;+;+;+	611	0
USP25|ENST00000549362.1	chr21;chr21;chr21;chr21;chr21;chr21	17145575;17150223;17163821;17172076;17177440;17191017	17145636;17150346;17163983;17172162;17177577;17191048	+;+;+;+;+;+	606	0
USP25|ENST00000478932.1	chr21;chr21	17248315;17250622	17250310;17251230	+;+	2605	0
KRTAP22-1|ENST00000334680.2	chr21	31973414	31973612	+	199	0
PRMT2|ENST00000486520.1	chr21;chr21;chr21;chr21	48076735;48080745;48083295;48084207	48078832;48081848;48083466;48084863	+;+;+;+	4031	24
PRMT2|ENST00000481861.1	chr21;chr21;chr21;chr21;chr21	48063447;48064218;48068370;48069487;48078657	48063551;48064400;48068531;48069651;48079342	+;+;+;+;+	1301	0
PRMT2|ENST00000498151.1	chr21;chr21	48068420;48069425	48068531;48069805	+;+	493	0
PRMT2|ENST00000458387.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	48055557;48056808;48063447;48064218;48068370;48069487;48083295;48084207	48055675;48056902;48063551;48064400;48068531;48069651;48083466;48084857	+;+;+;+;+;+;+;+	1652	0
PRMT2|ENST00000397638.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	48055527;48056808;48063447;48064218;48068370;48069487;48078657;48080745;48081712;48083295;48084207	48055675;48056902;48063551;48064400;48068531;48069651;48078832;48080874;48081848;48083466;48084863	+;+;+;+;+;+;+;+;+;+;+	2131	0
PRMT2|ENST00000355680.3	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	48055079;48056351;48056808;48063447;48064218;48068370;48069487;48078657;48080745;48081712;48083295;48084207	48055675;48056459;48056902;48063551;48064400;48068531;48069651;48078832;48080874;48081848;48083466;48084863	+;+;+;+;+;+;+;+;+;+;+;+	2688	0
PRMT2|ENST00000291705.6	chr21;chr21;chr21;chr21;chr21;chr21;chr21	48055557;48056808;48063447;48064218;48068370;48069487;48084207	48055675;48056902;48063551;48064400;48068531;48069651;48084857	+;+;+;+;+;+;+	1480	0
PRMT2|ENST00000491389.1	chr21;chr21	48068230;48069487	48068531;48069800	+;+	616	0
PRMT2|ENST00000455177.1	chr21;chr21;chr21;chr21	48064255;48068370;48069487;48072757	48064400;48068531;48069651;48072864	+;+;+;+	581	0
PRMT2|ENST00000451211.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	48055557;48056808;48063447;48064218;48068370;48069487;48078657;48084207	48055675;48056902;48063551;48064400;48068531;48069651;48078832;48084857	+;+;+;+;+;+;+;+	1656	0
PRMT2|ENST00000334494.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21	48055565;48056808;48063447;48064218;48068370;48069487;48071718	48055675;48056902;48063551;48064400;48068531;48069651;48072230	+;+;+;+;+;+;+	1334	0
PRMT2|ENST00000440086.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	48055593;48056808;48063447;48064218;48068370;48069487;48081712;48083295;48084207	48055675;48056902;48063551;48064400;48068531;48069651;48081848;48083466;48085036	+;+;+;+;+;+;+;+;+	1932	0
PRMT2|ENST00000482508.1	chr21;chr21;chr21;chr21;chr21;chr21	48063198;48064218;48068370;48069487;48078657;48080745	48063551;48064400;48068531;48069651;48078832;48081182	+;+;+;+;+;+	1478	0
PRMT2|ENST00000397637.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	48055562;48056808;48063447;48064218;48068370;48069487;48078657;48080745;48081712;48083295;48084207	48056459;48056902;48063551;48064400;48068531;48069651;48078832;48080874;48081848;48083466;48084863	+;+;+;+;+;+;+;+;+;+;+	2880	0
PRMT2|ENST00000397628.1	chr21;chr21;chr21;chr21;chr21;chr21	48055586;48056808;48063447;48064218;48068370;48069487	48055675;48056902;48063551;48064400;48068531;48069805	+;+;+;+;+;+	954	0
LINC00314|ENST00000324988.3	chr21;chr21	29385682;29395016	29385751;29395552	+;+	607	0
CXADRP1|ENST00000398098.2	chr21	15048343	15049437	+	1095	0
ABCC13|ENST00000463099.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	15646413;15651917;15659871;15660725;15663891;15671759;15674396;15676544;15678017;15680692;15680874;15681293;15685265;15688522;15689794;15695833;15709501;15710102;15717477;15720337;15724950;15725875;15727362;15730052;15731471;15733161;15734353;15734973	15646478;15651978;15660018;15660867;15664068;15672002;15674461;15676681;15678163;15680776;15680940;15681419;15685441;15688689;15689956;15695908;15709561;15710321;15717631;15720492;15725149;15726001;15727463;15730195;15731630;15733324;15734547;15735075	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3842	0
ABCC13|ENST00000482980.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	15646120;15651917;15659871;15660725;15663891;15678017;15680692;15680874;15685265;15688522;15695833;15708401;15709501;15710102	15646478;15651978;15660018;15660867;15664068;15678163;15680776;15680940;15685452;15689956;15695908;15708578;15709561;15710338	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3364	0
ABCC13|ENST00000400574.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	15646120;15651917;15659871;15660725;15663891;15678017;15680692;15680874;15685265	15646478;15651978;15660018;15660867;15664068;15678163;15680776;15680940;15685346	+;+;+;+;+;+;+;+;+	1271	0
ABCC13|ENST00000467409.1	chr21;chr21;chr21;chr21;chr21;chr21	15646212;15651917;15659871;15660725;15663891;15671759	15646478;15651978;15660018;15660867;15664068;15673707	+;+;+;+;+;+	2747	0
ABCC13|ENST00000429114.1	chr21;chr21;chr21;chr21;chr21	15608527;15640724;15641808;15642846;15651917	15608627;15640913;15641980;15642930;15651978	+;+;+;+;+	611	0
ABCC13|ENST00000481582.1	chr21;chr21;chr21;chr21;chr21	15646201;15651917;15659871;15660725;15671759	15646478;15651978;15660018;15664068;15672006	+;+;+;+;+	4080	0
ABCC13|ENST00000400571.1	chr21;chr21;chr21;chr21;chr21;chr21	15646413;15646459;15659871;15660725;15663891;15671759	15646433;15646478;15660018;15660867;15664068;15673690	+;+;+;+;+;+	2442	0
ABCC13|ENST00000471902.1	chr21;chr21;chr21;chr21;chr21	15646257;15651917;15659871;15660725;15663607	15646478;15651978;15660018;15660867;15663720	+;+;+;+;+	689	0
AP001610.9|ENST00000415820.1	chr21;chr21;chr21	42931052;42932259;42934834	42931300;42932379;42934885	-;-;-	422	0
AP000233.3|ENST00000426609.1	chr21;chr21;chr21;chr21	26499782;26505958;26507272;26507522	26499830;26506065;26507365;26507561	+;+;+;+	291	0
